,index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,3330,CU,2017-06-27,79.7,-1.34,5.41,"Bush, Matt",608070.0,456713.0,field_out,hit_into_play,,,,,8.0,Jose Ramirez lines out to left fielder Nomar Mazara.,R,L,R,CLE,TEX,X,7.0,line_drive,0.0,0.0,2017.0,0.82,-0.51,-0.07,1.85,,,488726.0,2.0,9.0,Bot,78.13,81.62,,,455139.0,,,1.28640406796386,-115.868040232194,-0.136460317672436,6.92733535034483,21.907418741183,-36.8752967610879,3.23,1.4,314.0,90.2,27.0,78.7,2587.0,5.6,491264.0,456713.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.86,0.1,0.139,0.0,1.0,0.0,0.0,3.0,64.0,1.0,Curveball,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,Standard,Strategic,51.0,-0.096,-0.227
1,3486,FF,2017-06-27,98.1,-1.35,5.42,"Bush, Matt",429665.0,456713.0,field_out,hit_into_play,,,,,4.0,Edwin Encarnacion pops out to second baseman Rougned Odor.,R,R,R,CLE,TEX,X,4.0,popup,1.0,1.0,2017.0,-0.72,1.76,-0.31,2.41,,,488726.0,1.0,9.0,Bot,159.32,123.82,,,455139.0,,,4.46206137155631,-142.39992721447,-6.62577474054575,-10.8180676400163,33.180792457246,-7.12889714618842,3.36,1.43,190.0,66.3,45.0,97.6,2686.0,6.2,491264.0,456713.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.35,0.3,0.313,0.0,1.0,0.0,0.0,3.0,63.0,3.0,4-Seam Fastball,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,Standard,Strategic,204.0,-0.11,-0.292
2,3624,FF,2017-06-27,98.3,-1.29,5.45,"Bush, Matt",429665.0,456713.0,,ball,,,,,14.0,Edwin Encarnacion pops out to second baseman Rougned Odor.,R,R,R,CLE,TEX,B,,,0.0,1.0,2017.0,-0.67,1.77,0.28,1.23,,,488726.0,1.0,9.0,Bot,,,,,455139.0,,,5.69808208251876,-142.372842862286,-9.79698369187656,-10.2491504968288,32.9947773469633,-6.51234179262435,3.68,1.57,,,,97.1,2647.0,5.9,491264.0,456713.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.61,,,,,,,,63.0,2.0,4-Seam Fastball,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,Standard,Strategic,202.0,0.0,0.023
3,3743,FC,2017-06-27,90.9,-1.46,5.25,"Bush, Matt",429665.0,456713.0,,called_strike,,,,,14.0,Edwin Encarnacion pops out to second baseman Rougned Odor.,R,R,R,CLE,TEX,S,,,0.0,0.0,2017.0,0.46,0.72,0.9,2.54,,,488726.0,1.0,9.0,Bot,,,,,455139.0,,,4.89569250131255,-132.122311441761,-2.4147988254076,4.36407731609516,26.3037363509741,-23.5929672884511,3.73,1.77,,,,90.2,2617.0,5.8,491264.0,456713.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.74,,,,,,,,63.0,1.0,Cutter,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,Standard,Strategic,142.0,0.0,-0.046
4,3798,SI,2017-06-27,99.1,-1.37,5.34,"Bush, Matt",488726.0,456713.0,single,hit_into_play,,,,,11.0,Michael Brantley singles on a line drive to left fielder Nomar Mazara.,R,L,R,CLE,TEX,X,7.0,line_drive,1.0,1.0,2017.0,-1.46,1.35,-1.1,2.53,,,,1.0,9.0,Bot,81.23,139.05,,,455139.0,,,4.06793557254232,-143.942864719824,-5.32652530541524,-21.0795046814829,33.7463902053777,-12.6093439626635,3.29,1.38,180.0,68.7,20.0,98.5,2469.0,6.1,491264.0,456713.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.43,0.86,0.774,0.9,1.0,1.0,0.0,4.0,62.0,3.0,Sinker,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,Standard,Strategic,230.0,0.098,0.263
5,3902,CU,2017-06-27,80.7,-1.22,5.21,"Bush, Matt",488726.0,456713.0,,called_strike,,,,,4.0,Michael Brantley singles on a line drive to left fielder Nomar Mazara.,R,L,R,CLE,TEX,S,,,1.0,0.0,2017.0,1.17,-0.58,-0.33,2.26,,,,1.0,9.0,Bot,,,,,455139.0,,,-0.137659909476167,-117.141923023901,1.16130537787511,10.4007379207276,23.0244818328798,-37.8212249532688,3.65,1.53,,,,79.1,2625.0,5.4,491264.0,456713.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,55.11,,,,,,,,62.0,2.0,Curveball,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,Standard,Strategic,57.0,0.0,-0.032
6,4126,SI,2017-06-27,98.9,-1.27,5.4,"Bush, Matt",488726.0,456713.0,,ball,,,,,13.0,Michael Brantley singles on a line drive to left fielder Nomar Mazara.,R,L,R,CLE,TEX,B,,,0.0,0.0,2017.0,-0.99,1.54,-1.39,2.45,,,,1.0,9.0,Bot,,,,,455139.0,,,1.90473778037185,-143.661200008627,-6.0447959299,-13.9109181697694,32.5465408661933,-10.0408593478679,3.62,1.47,,,,98.2,2377.0,5.9,491264.0,456713.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.57,,,,,,,,62.0,1.0,Sinker,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,Standard,Strategic,215.0,0.0,0.026
7,4221,SI,2017-06-27,97.3,-1.36,5.29,"Bush, Matt",596019.0,456713.0,field_out,hit_into_play,,,,,4.0,Francisco Lindor lines out to center fielder Delino DeShields.,R,L,R,CLE,TEX,X,8.0,line_drive,1.0,1.0,2017.0,-1.22,1.47,-0.29,2.23,,,,0.0,9.0,Bot,97.41,50.6,,,455139.0,,,5.63844569381647,-141.225975935187,-6.00502076532988,-17.5969548695312,31.9268128165482,-11.3495493775423,3.12,1.39,348.0,93.5,27.0,97.1,2363.0,6.3,491264.0,456713.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.2,0.267,0.413,0.0,1.0,0.0,0.0,3.0,61.0,3.0,Sinker,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,Standard,Strategic,222.0,-0.086,-0.235
8,4376,SI,2017-06-27,97.8,-1.29,5.34,"Bush, Matt",596019.0,456713.0,,foul,,,,,2.0,Francisco Lindor lines out to center fielder Delino DeShields.,R,L,R,CLE,TEX,S,,,1.0,0.0,2017.0,-1.18,1.52,0.07,2.97,,,,0.0,9.0,Bot,,,,,455139.0,,,6.2978350287654,-141.997888939046,-4.34311141255909,-17.2051657950924,31.713628863141,-10.9582840494524,3.12,1.39,,,,97.4,2515.0,6.1,491264.0,456713.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.41,,,,,,,,61.0,2.0,Sinker,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,Standard,Strategic,220.0,0.0,-0.046
9,4420,CU,2017-06-27,78.8,-1.29,5.25,"Bush, Matt",596019.0,456713.0,,ball,,,,,11.0,Francisco Lindor lines out to center fielder Delino DeShields.,R,L,R,CLE,TEX,B,,,0.0,0.0,2017.0,1.21,-0.76,-1.11,3.32,,,,0.0,9.0,Bot,,,,,455139.0,,,-1.7357971691936,-114.260410581442,3.95863071828187,10.5642642826302,21.9213566310498,-39.6694301124572,3.34,1.57,,,,77.2,2509.0,5.4,491264.0,456713.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,55.09,,,,,,,,61.0,1.0,Curveball,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,Standard,Strategic,52.0,0.0,0.036
