,game_date,game_pk,at_bat_number,pitch_number,balls,strikes,pitch_type,pitch_name,type,effective_speed,zone,events,description,bb_type,hit_distance_sc,launch_speed,launch_angle,stand,p_throws,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,id_ab,is_filt_pitch,is_filt_desc,is_filt_event,is_filt_any,pitch_type_prev,pitch_name_prev,type_prev
721243,2017-04-02,490099.0,1.0,1.0,0.0,0.0,FF,4-Seam Fastball,B,93.3,12.0,,ball,,,,,L,R,,,,,,490099.01.0,0,0,0,0,,,
721242,2017-04-02,490099.0,1.0,2.0,1.0,0.0,SI,Sinker,S,94.2,7.0,,foul,,,,,L,R,,,,,,490099.01.0,0,0,0,0,FF,4-Seam Fastball,B
721241,2017-04-02,490099.0,1.0,3.0,1.0,1.0,SI,Sinker,B,96.2,13.0,,ball,,,,,L,R,,,,,,490099.01.0,0,0,0,0,SI,Sinker,S
721240,2017-04-02,490099.0,1.0,4.0,2.0,1.0,SL,Slider,X,82.3,8.0,single,hit_into_play,line_drive,256.0,96.1,18.0,L,R,0.4,0.448,0.9,1.0,1.0,490099.01.0,0,0,0,0,SI,Sinker,B
721239,2017-04-02,490099.0,2.0,1.0,0.0,0.0,SI,Sinker,S,96.7,9.0,,called_strike,,,,,R,R,,,,,,490099.02.0,0,0,0,0,,,
721238,2017-04-02,490099.0,2.0,2.0,0.0,1.0,SI,Sinker,B,94.6,6.0,,ball,,,,,R,R,,,,,,490099.02.0,0,0,0,0,SI,Sinker,S
721237,2017-04-02,490099.0,2.0,3.0,1.0,1.0,SL,Slider,B,84.1,14.0,,ball,,,,,R,R,,,,,,490099.02.0,0,0,0,0,SI,Sinker,B
721236,2017-04-02,490099.0,2.0,4.0,2.0,1.0,SL,Slider,S,83.8,8.0,,called_strike,,,,,R,R,,,,,,490099.02.0,0,0,0,0,SL,Slider,B
721235,2017-04-02,490099.0,2.0,5.0,2.0,2.0,FF,4-Seam Fastball,S,98.3,1.0,strikeout,swinging_strike,,,,,R,R,,,0.0,1.0,0.0,490099.02.0,0,0,0,0,SL,Slider,S
721234,2017-04-02,490099.0,3.0,1.0,0.0,0.0,FF,4-Seam Fastball,B,97.9,11.0,,ball,,,,,L,R,,,,,,490099.03.0,0,0,0,0,,,
721233,2017-04-02,490099.0,3.0,2.0,1.0,0.0,CH,Changeup,S,88.2,7.0,,swinging_strike,,,,,L,R,,,,,,490099.03.0,0,0,0,0,FF,4-Seam Fastball,B
721232,2017-04-02,490099.0,3.0,3.0,1.0,1.0,FF,4-Seam Fastball,X,95.5,6.0,single,hit_into_play,line_drive,265.0,98.8,16.0,L,R,0.533,0.591,0.9,1.0,1.0,490099.03.0,0,0,0,0,CH,Changeup,S
721231,2017-04-02,490099.0,4.0,1.0,0.0,0.0,CH,Changeup,B,87.2,14.0,,blocked_ball,,,,,L,R,,,,,,490099.04.0,0,0,0,0,,,
721230,2017-04-02,490099.0,4.0,2.0,1.0,0.0,CH,Changeup,S,86.8,14.0,,swinging_strike,,,,,L,R,,,,,,490099.04.0,0,0,0,0,CH,Changeup,B
721229,2017-04-02,490099.0,4.0,3.0,1.0,1.0,CH,Changeup,S,87.4,9.0,,swinging_strike,,,,,L,R,,,,,,490099.04.0,0,0,0,0,CH,Changeup,S
721228,2017-04-02,490099.0,4.0,4.0,1.0,2.0,FF,4-Seam Fastball,X,95.7,12.0,grounded_into_double_play,hit_into_play,ground_ball,56.0,75.7,1.0,L,R,0.147,0.132,0.0,1.0,0.0,490099.04.0,0,0,0,0,CH,Changeup,S
721227,2017-04-02,490099.0,5.0,1.0,0.0,0.0,FF,4-Seam Fastball,B,90.7,13.0,,ball,,,,,R,L,,,,,,490099.05.0,0,0,0,0,,,
721226,2017-04-02,490099.0,5.0,2.0,1.0,0.0,SI,Sinker,B,88.6,14.0,,ball,,,,,R,L,,,,,,490099.05.0,0,0,0,0,FF,4-Seam Fastball,B
721225,2017-04-02,490099.0,5.0,3.0,2.0,0.0,SI,Sinker,X,87.7,13.0,field_out,hit_into_play,line_drive,298.0,84.9,23.0,R,L,0.233,0.229,0.0,1.0,0.0,490099.05.0,0,0,0,0,SI,Sinker,B
721224,2017-04-02,490099.0,6.0,1.0,0.0,0.0,FF,4-Seam Fastball,B,90.8,13.0,,ball,,,,,R,L,,,,,,490099.06.0,0,0,0,0,,,
721223,2017-04-02,490099.0,6.0,2.0,1.0,0.0,FF,4-Seam Fastball,X,90.8,9.0,double,hit_into_play,line_drive,345.0,102.2,17.0,R,L,0.453,0.506,1.25,1.0,1.0,490099.06.0,0,0,0,0,FF,4-Seam Fastball,B
721222,2017-04-02,490099.0,7.0,1.0,0.0,0.0,FF,4-Seam Fastball,S,90.0,13.0,,swinging_strike,,,,,L,L,,,,,,490099.07.0,0,0,0,0,,,
721221,2017-04-02,490099.0,7.0,2.0,0.0,1.0,FC,Cutter,S,87.2,4.0,,foul,,231.0,83.2,52.0,L,L,,,,,,490099.07.0,0,0,0,0,FF,4-Seam Fastball,S
721220,2017-04-02,490099.0,7.0,3.0,0.0,2.0,FC,Cutter,B,88.5,13.0,,ball,,,,,L,L,,,,,,490099.07.0,0,0,0,0,FC,Cutter,S
721219,2017-04-02,490099.0,7.0,4.0,1.0,2.0,SI,Sinker,B,88.2,14.0,,ball,,,,,L,L,,,,,,490099.07.0,0,0,0,0,FC,Cutter,B
721218,2017-04-02,490099.0,7.0,5.0,2.0,2.0,FC,Cutter,B,88.7,13.0,,ball,,,,,L,L,,,,,,490099.07.0,0,0,0,0,SI,Sinker,B
721217,2017-04-02,490099.0,7.0,6.0,3.0,2.0,FF,4-Seam Fastball,X,91.9,6.0,field_out,hit_into_play,fly_ball,370.0,102.7,37.0,L,L,0.52,1.043,0.0,1.0,0.0,490099.07.0,0,0,0,0,FC,Cutter,B
721216,2017-04-02,490099.0,8.0,1.0,0.0,0.0,CU,Curveball,B,71.9,13.0,,ball,,,,,R,L,,,,,,490099.08.0,0,0,0,0,,,
721215,2017-04-02,490099.0,8.0,2.0,1.0,0.0,SI,Sinker,S,91.1,14.0,,foul,,,,,R,L,,,,,,490099.08.0,0,0,0,0,CU,Curveball,B
721214,2017-04-02,490099.0,8.0,3.0,1.0,1.0,CH,Changeup,S,83.3,14.0,,swinging_strike,,,,,R,L,,,,,,490099.08.0,0,0,0,0,SI,Sinker,S
721213,2017-04-02,490099.0,8.0,4.0,1.0,2.0,CH,Changeup,S,83.7,14.0,strikeout,swinging_strike,,,,,R,L,,,0.0,1.0,0.0,490099.08.0,0,0,0,0,CH,Changeup,S
721212,2017-04-02,490099.0,9.0,1.0,0.0,0.0,SL,Slider,B,80.6,14.0,,ball,,,,,R,R,,,,,,490099.09.0,0,0,0,0,,,
721211,2017-04-02,490099.0,9.0,2.0,1.0,0.0,SI,Sinker,S,93.3,8.0,,foul,,,,,R,R,,,,,,490099.09.0,0,0,0,0,SL,Slider,B
721210,2017-04-02,490099.0,9.0,3.0,1.0,1.0,CH,Changeup,S,85.7,8.0,,swinging_strike,,,,,R,R,,,,,,490099.09.0,0,0,0,0,SI,Sinker,S
721209,2017-04-02,490099.0,9.0,4.0,1.0,2.0,SL,Slider,B,83.3,14.0,,ball,,,,,R,R,,,,,,490099.09.0,0,0,0,0,CH,Changeup,S
721208,2017-04-02,490099.0,9.0,5.0,2.0,2.0,SL,Slider,S,83.8,4.0,,foul,,,,,R,R,,,,,,490099.09.0,0,0,0,0,SL,Slider,B
721207,2017-04-02,490099.0,9.0,6.0,2.0,2.0,FF,4-Seam Fastball,S,98.4,1.0,strikeout,swinging_strike,,,,,R,R,,,0.0,1.0,0.0,490099.09.0,0,0,0,0,SL,Slider,S
721206,2017-04-02,490099.0,10.0,1.0,0.0,0.0,SI,Sinker,S,97.0,8.0,,foul,,,,,L,R,,,,,,490099.010.0,0,0,0,0,,,
721205,2017-04-02,490099.0,10.0,2.0,0.0,1.0,SL,Slider,S,84.3,7.0,,called_strike,,,,,L,R,,,,,,490099.010.0,0,0,0,0,SI,Sinker,S
721204,2017-04-02,490099.0,10.0,3.0,0.0,2.0,CH,Changeup,S,87.8,13.0,strikeout,swinging_strike,,,,,L,R,,,0.0,1.0,0.0,490099.010.0,0,0,0,0,SL,Slider,S
721203,2017-04-02,490099.0,11.0,1.0,0.0,0.0,FF,4-Seam Fastball,S,96.0,2.0,,called_strike,,,,,R,R,,,,,,490099.011.0,0,0,0,0,,,
721202,2017-04-02,490099.0,11.0,2.0,0.0,1.0,SI,Sinker,B,96.0,14.0,,ball,,,,,R,R,,,,,,490099.011.0,0,0,0,0,FF,4-Seam Fastball,S
721201,2017-04-02,490099.0,11.0,3.0,1.0,1.0,SI,Sinker,S,97.2,6.0,,foul,,,,,R,R,,,,,,490099.011.0,0,0,0,0,SI,Sinker,B
